"","j1","j2","j3","j4","j5","j6","j7","j8","j9","j10","j11","j12","j13","j14","j15","j16","j17","j18","j19","j20","j21","j22","j23","j24","j25","j26","j27","j28","j29","j30","j31","j32","j33","j34","j35","j36","j37","j38","j39","j40","j41","j42","j43","j44","j45","j46","j47","j48","j49","j50","j51","j52","j53","j54","j55","j56","j57","j58","j59","j60","j61","j62","j63","j64","j65","j66","j67","j68","j69","j70","j71","j72","j73","j74","j75","j76","j77","j78","j79","j80","j81","j82","j83","j84","j85","j86","j87","j88","j89","j90","j91","j92","j93","j94","j95","j96","j97","j98","j99","j100"
"u14295",-4.13,0.15,8.4,-1.55,3.54,-1.07,-9.51,-4.42,-1.41,-1.46,8.5,-1.41,3.45,-4.47,3.4,-9.32,-4.37,-9.71,-9.42,-9.47,3.16,0.34,5.19,-4.81,0.34,-3.83,-4.13,-8.45,-1.89,-5.15,3.5,5,3.64,0.92,-3.98,3.01,-4.76,-1.6,-2.18,5.44,0.53,-3.74,-8.5,-2.23,3.74,3.59,-8.98,3.83,0.34,-2.04,-4.37,-1.46,1.12,0.44,-4.76,-1.21,2.43,-5.05,-8.79,-4.17,-4.47,-1.5,-8.5,-4.17,3.45,3.3,-9.51,-3.93,2.91,-1.46,-9.17,-4.56,-4.61,-9.56,3.3,5.44,-4.03,-3.98,-8.88,-9.56,8.35,-9.51,-1.31,-9.42,-9.13,-8.93,-1.55,0,-3.74,-9.51,-4.27,-2.62,-4.22,-4.03,-4.03,-4.03,-4.71,5.1,-8.79,5.15
"u10736",NA,NA,NA,NA,-2.77,NA,9.03,4.76,NA,NA,NA,5.68,4.32,NA,8.69,-0.58,-0.39,5.24,3.16,4.47,2.43,NA,NA,NA,4.95,-4.17,5.87,4.66,8.98,NA,4.37,4.42,NA,6.89,8.88,-0.78,NA,NA,NA,6.75,9.08,7.72,NA,NA,7.28,NA,-3.54,2.14,4.37,6.75,NA,NA,4.17,7.28,NA,0.58,NA,NA,NA,NA,2.28,7.28,NA,NA,3.88,1.46,NA,6.26,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u5581",-4.17,-9.27,-7.14,-4.61,6.17,-5.05,7.43,6.02,-3.45,6.17,-3.45,-2.82,7.18,4.27,-6.02,3.59,2.33,-6.17,4.51,-8.74,-3.35,4.51,-8.88,-9.81,-8.98,4.81,3.83,4.22,6.26,-7.82,4.81,6.31,-0.58,6.5,6.94,2.77,-4.17,-5.19,-4.66,-1.26,-8.98,-4.47,-5.73,-9.51,-0.39,5.97,6.41,6.6,4.61,6.8,-4.66,-2.57,0.15,5.05,-8.69,9.08,-9.51,-9.51,-6.94,-9.13,-9.47,5.39,2.57,-7.48,-7.91,-4.32,-8.25,3.01,-0.97,-8.93,-8.35,4.17,-7.09,-7.38,-7.52,6.36,-8.2,-6.84,5,-7.52,-6.46,-7.28,6.07,-0.15,-4.95,-6.6,-6.65,-0.78,4.17,-7.72,-5.63,-6.75,-4.22,-7.67,-7.72,-4.47,-9.85,-4.95,-0.1,4.56
"u2110",NA,NA,NA,NA,-4.9,-3.79,1.94,2.18,NA,2.96,0.58,-7.33,0.19,-3.16,-1.65,-5.05,-1.07,3.4,-0.87,0.24,-3.01,0.63,NA,-3.98,NA,-3.06,-0.05,-4.66,3.16,-0.24,-0.39,2.52,-2.86,-1.12,1.36,3.06,NA,3.93,-5.87,1.17,-4.08,-2.23,NA,NA,NA,NA,-0.05,2.62,-2.86,2.62,-1.36,-0.63,-1.07,-0.19,NA,3.88,NA,NA,-3.4,NA,0.1,-4.42,-3.25,NA,-0.39,-1.26,-2.57,-6.02,-0.19,NA,NA,NA,NA,NA,-1.99,-2.04,NA,NA,-3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u15817",-3.35,-5.73,-6.89,-7.09,-9.08,-6.12,-9.17,0.97,-4.22,-5.05,-8.01,-6.99,-7.33,-8.01,5.34,-5.39,-7.43,-6.94,-9.66,-9.17,-7.77,-6.94,-8.01,-6.21,-7.96,-5.53,2.38,-5.92,3.98,-7.43,3.2,-7.86,-6.21,-5.87,-7.43,-0.15,2.57,-5,-7.91,-7.04,-6.6,-7.23,-6.46,2.72,-2.52,1.5,-7.04,-5.39,-6.7,3.35,-7.14,-6.94,-7.43,-6.5,-9.17,-7.23,-8.01,-7.48,-3.2,-2.14,2.48,-9.17,-7.62,-6.21,-4.32,0.83,-7.04,-3.25,-7.91,-6.94,NA,NA,NA,NA,-9.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.17,NA,2.72,-5.44,-9.17,2.96,1.65,-7.09,2.82,-6.17,-4.81
"u10697",NA,NA,NA,NA,5.87,NA,-2.82,-3.11,NA,NA,NA,-7.14,4.85,2.04,-2.77,3.54,2.77,-8.98,-0.1,8.45,7.96,-0.68,NA,NA,NA,7.82,7.18,6.89,-7.18,1.65,8.4,-5.49,NA,4.85,5.44,3.4,NA,-6.7,7.91,3.2,0.34,1.21,NA,NA,-6.12,2.23,4.47,-3.06,6.89,2.09,NA,4.13,8.5,4.22,NA,-4.17,NA,NA,NA,NA,5.39,6.65,NA,NA,7.18,2.38,NA,7.33,6.75,NA,NA,NA,NA,NA,7.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,4.81,NA,NA,NA
"u1805",-2.23,-4.51,7.86,-6.31,5.92,8.25,-8.35,8.35,3.98,7.96,7.67,-6.5,-8.54,-3.11,-7.18,3.88,-9.13,1.31,7.28,7.91,-2.77,-5.87,8.69,5.29,-8.06,-3.59,6.17,8.2,6.65,6.7,7.82,7.57,6.07,-1.94,7.72,-0.1,-0.24,7.09,-6.31,-5.73,-6.89,-7.09,3.06,3.93,1.84,-3.74,8.16,8.4,6.84,7.57,1.89,-0.92,-4.71,1.31,0.87,-3.4,2.91,-2.96,7.52,7.18,7.77,7.62,7.52,7.38,3.83,6.55,1.7,8.01,5.15,7.57,6.75,6.89,6.46,3.79,1.65,5.58,6.55,5.39,1.07,0.63,5.97,8.2,-3.98,8.54,-3.64,7.57,2.52,4.85,7.67,8.5,5.49,5.19,6.7,7.77,7.86,7.57,8.11,-6.5,3.16,-6.5
"u19912",2.72,6.31,4.71,1.36,-1.07,6.17,5.58,-4.85,3.79,4.85,2.23,2.43,-0.24,-2.67,3.64,3.59,3.01,-8.2,2.48,4.9,5.1,-1.07,4.66,7.52,3.74,-1.17,7.38,-1.07,8.35,4.71,1.21,1.17,-7.72,3.69,3.59,8.83,-1.65,2.52,5,4.85,2.18,4.95,3.64,-9.66,6.31,1.31,4.71,4.85,4.85,5.92,-2.67,-2.57,2.38,7.28,3.93,2.52,-6.36,-8.16,-1.26,-0.15,6.26,3.88,-5,5,2.77,6.17,2.38,-0.19,3.54,-1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.05,NA,NA,NA,NA,NA,NA,NA,6.21,4.03,NA,NA,NA
"u8072",3.83,-4.08,1.46,-4.03,-7.77,1.55,1.6,-2.14,-5.87,-0.78,4.17,0.97,0.87,-1.5,1.84,-9.47,-1.31,-2.33,-0.44,1.89,-2.91,-4.03,2.86,-8.3,-2.52,-3.2,-1.17,2.18,-2.38,0.19,-4.22,3.3,-5.1,-3.2,0.78,0.05,-0.78,0.05,-4.9,0.92,-5.29,-4.32,-0.24,-4.42,3.3,-4.42,3.2,3.98,3.69,-2.57,-4.32,-7.43,2.82,3.01,4.17,-3.45,-0.58,-6.12,-0.73,1.8,-5.29,3.5,3.69,-2.23,-2.04,2.77,-2.91,3.2,-2.91,4.9,NA,NA,NA,NA,NA,NA,-0.83,NA,NA,NA,NA,NA,NA,-2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u18791",3.45,-3.59,8.88,4.9,3.59,5.1,-6.94,5.29,4.9,7.96,7.28,7.72,-3.11,6.5,-7.18,-7.72,2.43,4.47,0.97,3.54,8.4,7.18,7.91,7.86,4.81,5.1,6.46,-0.29,4.81,8.59,8.98,6.41,1.55,6.89,6.41,4.56,-9.22,8.06,5.53,3.79,8.88,5.44,5.19,6.84,-3.11,8.93,1.5,7.04,5.24,4.42,7.04,5.19,6.12,9.03,8.83,0.97,-0.92,6.41,1.75,3.25,7.18,3.79,-6.75,8.59,8.4,8.3,4.27,6.94,6.84,-2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u14497",NA,NA,NA,NA,7.28,-0.29,-0.29,-4.95,NA,-0.29,-0.29,-0.29,-2.43,8.83,-0.29,-0.29,4.37,4.37,8.83,5.73,8.83,-0.29,-0.29,NA,-0.29,-0.29,-0.29,-0.29,4.17,-0.29,-0.29,9.03,-0.29,-0.29,8.83,-0.29,NA,-0.29,-0.29,2.62,-0.29,9.03,NA,NA,-0.29,-0.29,2.62,-0.29,-0.1,-0.29,8.83,-0.29,5.73,-0.29,-0.29,-0.29,NA,NA,-0.29,NA,8.83,5.73,-0.29,NA,8.83,-0.29,NA,-0.29,1.65,-0.29,NA,NA,NA,NA,-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u17588",NA,NA,NA,NA,2.23,NA,-3.11,-2.43,NA,-0.83,-1.8,3.69,-7.28,3.74,-2.82,-8.2,-2.09,-0.53,3.69,-3.01,2.62,1.89,NA,NA,-2.72,5.05,4.32,NA,6.94,NA,5.34,8.3,NA,-1.75,4.71,4.42,NA,-5.44,3.01,-3.11,NA,3.4,NA,NA,-1.8,0.15,-3.11,4.22,5.53,3.83,NA,NA,4.22,0.78,NA,-1.17,NA,NA,NA,NA,0.97,2.77,NA,-4.9,5.29,4.42,NA,0,5.39,-0.83,NA,NA,NA,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53,NA,NA,NA,NA,NA,-3.11,NA,NA,NA,NA,NA,NA,NA,NA
"u10594",1.55,1.7,-9.13,2.52,3.79,1.7,-9.85,1.99,0.68,2.28,-6.46,5.34,-0.87,4.08,2.38,-1.89,-5.83,-6.5,4.9,-3.98,-6.75,0.78,8.79,-3.45,-0.83,-6.07,7.28,6.7,0.15,0.73,-9.51,5.24,-1.7,-5.78,-7.18,-7.18,8.45,-0.44,-4.08,0.87,-4.13,-6.36,5.68,-3.01,3.35,1.36,2.52,5.19,-2.28,2.38,-6.21,-5.53,-3.3,1.26,7.86,2.67,-7.77,-7.04,-1.55,3.83,0.44,1.8,5,6.94,4.61,5.29,1.6,0.73,2.77,-2.04,3.4,-4.66,-6.07,-6.46,-5.97,4.61,-0.44,-6.65,0.15,8.01,-2.96,0.05,6.65,0.87,-7.62,7.23,-4.37,9.03,9.22,1.17,-2.72,-4.37,3.16,5.24,-3.88,3.64,0.63,-2.48,7.33,-4.42
"u8524",NA,NA,NA,NA,-8.35,NA,1.5,-9.81,NA,NA,NA,NA,-6.21,NA,-5.05,5.1,4.22,1.55,6.12,3.64,4.37,NA,NA,NA,NA,NA,8.83,NA,2.48,NA,-8.11,-9.22,NA,NA,3.98,3.79,NA,4.32,4.71,NA,NA,3.06,NA,NA,NA,NA,5.73,8.16,1.6,4.95,NA,NA,6.41,3.98,2.43,5.05,NA,-6.5,NA,NA,6.55,0.1,NA,NA,5.15,4.56,NA,5.68,4.56,6.5,NA,NA,8.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94,4.37,NA,NA
"u18833",0.49,3.01,-0.29,-0.29,2.04,2.43,-0.29,-0.29,-0.29,3.59,4.17,2.04,2.04,-0.29,0.87,-0.29,-0.29,4.37,2.62,-0.29,3.2,1.84,-0.29,-0.29,-0.29,1.46,4.56,-0.68,4.37,2.43,0.87,-0.29,-0.29,-0.29,4.37,2.82,-0.29,4.17,-0.29,-0.29,1.65,-0.29,5.34,-0.29,2.04,-0.29,1.46,3.79,3.2,1.26,2.43,-0.29,5.73,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,1.26,5.73,3.01,-0.29,4.95,4.17,4.37,-0.29,-0.29,6.12,-0.29,-4.95,1.07,3.2,-3.2,-3.2,-0.29,4.37,2.23,4.17,4.56,6.89,1.07,0.49,1.84,3.2,2.04,4.17,2.82,1.46,-0.29,-0.29,5.92,3.59,1.84,2.04,-0.29,1.46,1.26,-0.29,2.23
"u10519",-6.02,-1.7,2.52,1.12,4.51,2.77,6.07,-0.15,-7.91,-0.87,-0.53,0.68,2.28,-0.34,1.26,-3.5,-2.48,3.35,1.07,7.72,5.24,0.83,-0.78,-9.95,-1.31,5.49,7.09,2.38,9.22,-9.61,7.28,-1.65,-5.34,-8.79,4.61,-1.07,-2.43,-6.21,-2.28,3.11,1.65,1.26,1.12,-9.9,1.89,4.03,1.7,0.83,6.99,-5.49,1.12,3.4,7.28,8.74,-6.46,2.09,-9.9,-9.85,5.24,-2.14,6.99,4.47,-2.18,-5.63,8.11,8.98,-9.47,7.91,-0.97,-1.55,9.27,6.6,NA,NA,NA,NA,NA,7.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u13914",NA,NA,NA,NA,7.23,NA,4.17,0,NA,NA,NA,NA,-2.67,NA,-5.92,2.38,-0.44,1.02,6.02,6.07,9.17,NA,NA,NA,NA,NA,6.8,6.8,9.22,NA,8.93,8.69,NA,NA,6.89,4.61,4.03,3.88,6.7,NA,NA,8.83,NA,2.96,4.13,NA,NA,6.46,7.14,8.79,NA,NA,9.08,-5.49,NA,8.98,NA,NA,NA,NA,8.83,7.86,NA,NA,NA,6.46,NA,-0.15,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.57,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u2881",-0.05,-9.22,-8.74,-8.83,-8.88,3.83,-9.42,-6.8,-4.81,-6.41,-8.54,-4.61,-8.79,0.87,-9.08,-4.71,-8.98,2.77,0.1,-2.18,-2.43,0.15,-2.33,-6.75,-9.47,0.19,5.78,7.14,-4.17,-0.1,-1.65,5.68,-9.42,3.4,-4.37,-8.5,-8.74,-4.32,8.25,-6.36,-1.99,-9.22,-4.51,-9.42,0.1,7.86,8.25,1.36,0.19,-4.81,-8.98,-9.42,-9.08,7.91,0.39,8.3,-4.47,-8.93,-8.83,-9.56,7.77,2.67,0.49,-9.27,-4.17,-1.84,0.15,-1.46,2.57,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u7517",NA,NA,NA,NA,1.46,-2.82,-7.96,-6.26,NA,1.65,-5.44,-3.83,-6.12,0.97,-0.63,-0.63,-6.8,0.63,0.39,-7.96,-2.23,1.65,-6.46,NA,2.23,0.24,2.28,-5.44,-5.24,NA,-5.24,-7.77,NA,-2.91,2.82,2.52,-5.1,5.05,2.18,-3.5,4.42,-3.11,-5.44,NA,-3.01,5,-1.02,3.06,-4.61,2.33,NA,-1.21,5.49,-5.97,-3.25,0.73,NA,NA,1.65,NA,2.48,-1.99,-6.84,NA,2.52,5.29,2.48,-4.66,4.13,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u11876",-0.53,-0.49,2.04,2.67,7.62,3.5,1.89,-0.53,-0.05,3.69,-0.19,-0.1,1.94,-2.77,-4.51,-7.09,7.23,-2.23,-0.39,-4.27,1.12,4.61,4.51,1.75,0.39,-0.39,0.73,-0.05,0.15,2.33,6.46,-2.82,2.43,3.88,5.24,4.61,-4.13,-8.2,-2.04,-2.72,-2.23,-0.29,1.94,-0.05,-3.59,-2.67,1.55,-3.59,0.83,2.67,0.53,0.53,-2.14,-0.92,0.63,3.25,0.44,-8.3,1.65,1.8,2.04,-0.1,1.94,-0.92,-0.58,0.29,1.8,5.39,0.87,1.12,0.49,-0.24,-6.31,-6.94,-0.15,0.92,-9.56,0.29,-9.13,-6.99,-6.94,-1.84,-1.65,7.28,4.71,-7.91,0.1,-7.62,3.83,-5.39,-6.26,-7.72,-7.33,-2.38,-3.98,6.6,6.6,7.86,0.39,5.97
"u8553",NA,NA,NA,NA,1.6,-3.69,4.22,-0.39,NA,NA,0.87,-1.75,-0.05,3.35,-6.36,-7.23,-2.28,-5.24,1.99,-2.28,7.18,NA,NA,NA,NA,3.25,2.62,1.46,1.55,NA,0.78,4.81,NA,5.1,1.6,3.83,NA,-2.82,4.27,3.69,NA,-8.01,NA,-7.14,NA,-5.53,NA,6.7,2.72,7.04,NA,NA,-2.67,6.84,NA,1.99,NA,NA,NA,NA,1.55,5.78,NA,NA,5.63,-9.47,NA,6.12,0.68,-0.24,NA,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99,-3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u14899",NA,0.87,NA,-4.51,8.54,-2.57,3.5,-6.99,5.05,8.79,-3.45,8.01,-2.04,-4.66,2.48,4.42,-7.67,7.72,3.06,-4.22,6.07,-0.63,-9.47,NA,4.03,4.13,7.57,4.08,5.19,-7.67,3.06,6.07,-8.93,4.47,6.5,-5.73,NA,5.58,-0.83,-3.35,0.1,8.5,7.86,3.11,-0.58,8.3,8.06,-2.18,8.4,5.05,-4.17,3.93,6.31,5.97,-4.85,1.89,4.42,NA,0.24,-6.6,-1.6,6.26,6.5,-4.22,8.3,8.98,0.78,-0.63,-3.74,1.55,-8.79,NA,NA,NA,-8.93,NA,NA,NA,NA,NA,NA,NA,8.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u1887",NA,NA,NA,NA,-7.86,2.04,4.42,-3.64,NA,7.82,7.33,3.3,-2.48,7.38,0.29,-8.16,0,-2.48,-2.23,-1.5,1.12,-0.39,4.22,NA,3.59,5.58,3.45,2.62,4.17,NA,5.73,3.64,NA,4.9,4.22,5.49,NA,-2.04,7.28,7.28,-3.25,6.36,NA,NA,5.49,7.28,6.07,2.62,0.63,7.62,NA,4.17,0.19,8.35,-0.19,7.77,NA,NA,NA,-5.58,6.84,-0.24,2.72,NA,-0.05,5.68,NA,5.53,4.76,5.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13,NA,NA,NA,NA,NA,NA
"u23708",NA,NA,NA,NA,8.98,1.02,-7.09,-0.78,NA,3.11,-9.32,-9.76,4.51,-9.22,4.03,-1.7,-2.23,6.8,1.55,5.49,-9.47,-6.99,-4.42,NA,4.76,-8.45,-6.41,-1.65,6.17,-6.26,2.82,8.3,-9.95,-5.53,8.64,8.88,-6.55,4.37,-9.85,2.38,6.31,-2.77,NA,NA,-3.59,-8.2,-9.56,3.83,-1.89,1.84,NA,1.65,6.31,-0.34,-9.9,-9.32,-2.77,NA,-7.96,8.69,-9.22,-1.99,-5.39,-6.21,1.8,-3.64,NA,3.54,-3.35,0.87,NA,NA,NA,NA,NA,8.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69,NA,NA,NA,NA,NA,NA,NA,NA
"u551",-0.44,-6.99,-3.64,4.51,4.51,2.43,-8.2,-3.93,-0.44,1.5,0.68,1.8,2.48,1.8,-0.49,-8.01,-4.51,-2.77,5.97,-2.09,-0.34,1.5,1.5,-0.44,1.5,7.91,6.55,-0.44,7.33,1.5,7.28,5.78,-4.61,1.5,3.2,7.04,1.8,0.68,1.8,-0.44,1.94,7.28,0.73,-0.44,0.44,-1.07,6.31,6.17,6.8,2.82,0.68,5.73,4.61,6.8,1.5,5.58,-0.44,-9.32,1.94,-8.11,-0.39,5.49,4.32,4.22,6.6,3.01,-7.43,2.67,1.21,1.5,-0.1,0.29,-0.78,5.05,2.23,2.23,2.23,-0.39,2.23,2.23,2.23,3.16,8.25,0.58,-2.43,6.6,-2.28,4.66,4.9,-2.96,6.36,2.86,4.08,-0.73,-0.73,-0.73,-0.73,6.75,-5.78,5
"u20872",NA,-8.79,NA,-8.79,1.65,-0.24,2.91,2.57,-8.79,1.84,0.58,-8.74,2.43,-7.91,-0.1,2.77,-0.97,0.49,0.53,-1.5,4.03,3.59,3.88,NA,-4.47,-5.58,-0.05,3.06,-4.03,-6.89,1.21,1.21,NA,-9.37,2.67,3.54,NA,0.73,-9.37,-5.1,2.67,-5.15,-8.79,-3.45,1.5,-5.1,-9.51,-4.47,-4.95,3.5,-9.32,-5,1.7,-4.37,1.12,3.79,NA,NA,-5.63,-9.32,1.75,-3.35,-5.24,-2.82,-6.21,-1.99,NA,1.21,2.86,-2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.28,NA,NA,NA,NA,NA,NA
"u15683",-0.44,-5.24,-9.56,-9.9,-6.8,-9.76,2.91,-0.58,NA,-3.59,-9.61,-9.76,-9.81,-9.61,-0.87,-6.8,-9.71,-9.66,-9.66,-9.51,-9.56,-9.51,-9.61,-9.95,-9.76,-9.61,1.12,-6.55,-9.71,-9.85,-9.61,1.94,-9.61,-9.76,-1.89,2.67,NA,-6.55,-9.71,-9.32,-9.61,4.08,NA,NA,-9.61,-9.71,0.1,-9.66,-0.58,4.37,-9.61,-9.71,0.29,-3.88,-9.76,-4.76,NA,NA,-9.9,0.97,-8.06,-9.56,-9.66,-9.85,2.23,5.53,NA,-9.47,5.58,-9.81,NA,NA,NA,NA,-9.56,NA,NA,NA,NA,NA,NA,NA,-9.56,NA,NA,NA,NA,NA,5.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u7689",5.24,-6.65,-5.44,-3.74,5.05,2.33,-6.6,0.78,1.02,-3.5,1.46,1.7,-6.75,2.57,-6.75,-6.75,-0.29,3.11,6.17,-4.03,-0.19,-3.59,3.93,-6.02,-4.71,6.36,8.5,1.5,1.94,-6.65,0.87,6.89,0.97,7.91,5.1,6.21,-6.02,-8.59,1.5,3.5,3.98,6.36,-8.69,-6.02,4.76,-2.52,7.67,1.12,3.01,5.05,5,-2.38,8.25,6.7,7.18,-5.68,-2.86,-6.75,0.24,-2.38,0.73,5.1,-6.55,-0.58,7.28,4.61,2.91,8.3,4.37,2.33,NA,NA,NA,NA,-1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29,NA,NA,NA,NA,NA,8.79,NA,NA
"u18412",1.75,5.63,4.22,1.02,-0.78,8.98,2.33,0,3.16,3.98,5.15,7.14,-4.13,2.67,-7.57,-9.17,2.18,-1.31,2.48,3.74,7.48,8.2,1.46,2.09,4.22,-0.34,8.69,8.98,8.74,-4.37,7.52,7.43,0.34,7.09,2.82,8.69,0.53,3.59,2.52,9.17,1.36,5.19,-1.26,-3.01,7.77,8.06,6.94,8.54,6.55,7.14,-3.83,5.63,-3.25,4.76,6.89,7.91,-3.2,-5.92,1.26,-1.21,8.88,8.83,9.13,-5.34,7.09,8.88,4.95,9.17,-6.36,6.31,2.86,0.34,-2.67,-4.27,2.62,5.73,-4.22,-2.09,-8.06,0.87,-2.28,-3.88,-2.77,0.39,-5.05,-0.19,-2.14,0.68,1.07,5.15,-4.22,-0.44,-4.9,3.98,-3.45,5,7.82,-9.81,5.15,4.03
"u15841",-7.43,0.44,-9.61,-9.17,-9.81,9.03,8.59,5.49,-9.17,9.03,7.96,8.45,-8.83,8.88,-9.61,9.08,5.49,-0.92,8.88,5.15,9.08,-9.32,0.83,-0.53,4.61,5.78,-8.69,3.69,9.03,8.79,8.98,8.93,-1.02,-7.43,-5.19,-5.34,-9.61,-0.19,5.78,-8.74,8.74,5.97,1.07,-5.44,-8.3,1.8,8.35,8.74,-0.87,5.29,-0.78,0.83,9.13,5.73,9.17,8.98,-9.03,8.83,-8.59,-9.85,4.42,0.15,-5.58,9.13,7.86,9.22,6.84,9.27,9.13,-1.41,NA,NA,NA,NA,NA,NA,-0.58,NA,NA,NA,-8.4,-8.4,8.5,-7.33,-7.57,3.16,-7.57,-8.93,8.98,-5.78,-1.26,8.59,-2.14,1.55,8.35,-1.41,8.35,3.54,8.5,9.27
"u24607",-7.23,-6.02,1.07,-7.77,-3.3,4.51,-3.45,0.15,-6.84,5.44,-4.61,1.55,4.56,0.78,1.8,1.8,-1.5,-0.63,-3.74,-6.75,-1.8,-6.6,5.39,-7.14,2.09,5,4.81,-2.86,2.04,-5.87,5.39,2.86,-6.8,2.52,4.17,4.61,-6.75,3.25,-0.24,-2.43,-8.11,2.62,-7.18,-2.23,-2.09,2.23,-8.11,6.55,3.74,1.02,-7.82,-5.29,-4.51,4.9,-2.72,5.24,4.22,-7.18,-6.94,-5.34,4.47,2.48,1.31,-3.54,3.01,7.04,-7.62,-3.25,5.19,-4.81,NA,NA,NA,-9.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u3180",NA,4.32,4.37,NA,-7.96,0.19,4.56,7.33,NA,2.52,6.21,3.3,1.8,3.25,-8.88,1.07,3.25,-8.64,4.03,4.76,-9.13,-0.87,-6.65,NA,-1.21,5,-9.42,-0.34,3.88,1.8,-9.08,5.34,7.57,-9.32,3.06,2.67,NA,1.5,3.25,3.16,4.17,5.53,NA,NA,2.33,2.62,3.83,5.24,-1.26,2.28,-9.37,-7.96,5.15,1.36,-5.34,5.44,NA,NA,2.33,-4.22,1.31,6.84,5.29,0.92,-0.34,2.82,NA,2.48,0.73,-8.69,NA,NA,NA,NA,NA,NA,NA,NA,-8.4,NA,NA,2.77,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u21896",NA,NA,NA,NA,7.72,NA,-8.5,6.65,NA,8.45,7.96,8.88,-9.13,8.83,7.09,-2.62,-8.54,7.09,7.09,7.09,8.74,8.45,8.06,NA,8.83,8.69,8.16,8.59,8.69,8.64,8.83,8.64,NA,8.69,8.35,8.59,NA,8.3,8.79,8.93,NA,8.5,NA,NA,8.5,8.74,8.54,8.74,8.59,8.59,8.5,8.35,8.88,8.5,8.83,8.74,NA,NA,8.35,8.5,8.2,8.5,8.83,NA,8.64,8.64,NA,8.2,8.59,NA,NA,8.59,8.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
